durations,T_all,NA_core,NA_rim,NB_core,NB_rim
93.0,1211.4717027114689,303.1197548258622,801.0,321.8802451741378,0.0
94.0,1211.4195340160802,301.5955375791474,801.0,323.4044624208526,0.0
95.0,1211.3673653206913,300.08945480252675,801.0,324.91054519747325,0.0
96.0,1211.3151966253024,298.60118770726723,801.0,326.39881229273277,0.0
97.0,1211.2630279299137,297.1304249329142,801.0,327.8695750670858,0.0
98.0,1211.2108592345248,295.6768623321776,801.0,329.3231376678224,0.0
99.0,1211.158690539136,294.24020276325035,801.0,330.75979723674965,0.0
100.0,1211.1065218437473,292.8201558892612,801.0,332.1798441107388,0.0
101.0,1211.0543531483584,291.4164379845775,801.0,333.5835620154225,0.0
102.0,1211.0021844529695,290.02877174768713,801.0,334.97122825231287,0.0
103.0,1210.9500157575808,288.6568861203992,801.0,336.3431138796008,0.0
104.0,1210.8978470621919,287.30051611311706,801.0,337.69948388688294,0.0
105.0,1210.845678366803,285.95940263594656,801.0,339.04059736405344,0.0
106.0,1210.7935096714143,284.6332923354134,801.0,340.3667076645866,0.0
107.0,1210.7413409760254,283.32193743657365,801.0,341.67806256342635,0.0
108.0,1210.6891722806365,282.0250955903103,801.0,342.9749044096897,0.0
109.0,1210.6370035852476,280.7425297256189,801.0,344.2574702743811,0.0
110.0,1210.584834889859,279.47400790669263,801.0,345.52599209330737,0.0
111.0,1210.53266619447,278.2193031946259,801.0,346.7806968053741,0.0
112.0,1210.4804974990811,276.97819351356355,801.0,348.02180648643645,0.0
113.0,1210.4283288036925,275.75046152112935,801.0,349.24953847887065,0.0
114.0,1210.3761601083036,274.5358944829758,801.0,350.4641055170242,0.0
115.0,1210.3239914129147,273.33428415130203,801.0,351.66571584869797,0.0
116.0,1210.271822717526,272.14542664719534,801.0,352.85457335280466,0.0
117.0,1210.219654022137,270.9691223466554,801.0,354.0308776533446,0.0
118.0,1210.1674853267482,269.8051757701687,801.0,355.1948242298313,0.0
119.0,1210.1153166313595,268.6533954757038,801.0,356.3466045242962,0.0
120.0,1210.0631479359706,267.5135939550049,801.0,357.4864060449951,0.0
